type,probability,percentage
DRUNK,0.2,20.0
OJBK,0.07922097481013711,7.922097481013711
THAN-K,0.06351402235724296,6.351402235724296
FAKE,0.05373833700364773,5.373833700364774
SEXY,0.047413841346940225,4.741384134694022
MALO,0.04673337139895046,4.673337139895046
Dior-s,0.04194482548392013,4.194482548392013
MUM,0.041795071917324435,4.179507191732443
ZZZZ,0.03746888874532395,3.7468888745323947
LOVE-R,0.03373491792789513,3.373491792789513
IMSB,0.03359949297880319,3.3599492978803194
CTRL,0.029769124575133143,2.9769124575133143
SOLO,0.029315292098554963,2.9315292098554964
FUCK,0.027384998731959168,2.738499873195917
GOGO,0.024723945872671696,2.4723945872671695
JOKE-R,0.02426866380833049,2.426866380833049
OH-NO,0.02408451040905067,2.408451040905067
MONK,0.02331310670561876,2.331310670561876
SHIT,0.020514008488590803,2.0514008488590805
DEAD,0.019578243834181934,1.9578243834181934
ATM-er,0.01948089844055718,1.9480898440557182
THIN-K,0.01841639924211649,1.841639924211649
WOC!,0.01668547994631229,1.668547994631229
IMFW,0.01645917699515371,1.6459176995153708
POOR,0.013769243887356716,1.3769243887356717
BOSS,0.01268718237563321,1.268718237563321
HHHH,0.00038598061859345805,0.038598061859345806
